Id,SalePrice
1461,126161
1462,151765
1463,183781
1464,191248
1465,189542
1466,177288
1467,174331
1468,168233
1469,183696
1470,124075
1471,207657
1472,90826
1473,95691
1474,154038
1475,133280
1476,392603
1477,270622
1478,288855
1479,250705
1480,474999
1481,319135
1482,207083
1483,157131
1484,168202
1485,175725
1486,192172
1487,395625
1488,240900
1489,216267
1490,224243
1491,193595
1492,93801
1493,195152
1494,301920
1495,300243
1496,240569
1497,185109
1498,159316
1499,158531
1500,143987
1501,168370
1502,145454
1503,308056
1504,236473
1505,225774
1506,183735
1507,238532
1508,199176
1509,172920
1510,142778
1511,143006
1512,163132
1513,137135
1514,178537
1515,188784
1516,156861
1517,157149
1518,126320
1519,225306
1520,131927
1521,136134
1522,166321
1523,106820
1524,124841
1525,127375
1526,123138
1527,107266
1528,115801
1529,158071
1530,177304
1531,94299
1532,98055
1533,133218
1534,119309
1535,158278
1536,116843
1537,79826
1538,166840
1539,193444
1540,82702
1541,142177
1542,137827
1543,205257
1544,75078
1545,101295
1546,129670
1547,132028
1548,138098
1549,110321
1550,135693
1551,107879
1552,126957
1553,148057
1554,113378
1555,165424
1556,76830
1557,104401
1558,83284
1559,78701
1560,125683
1561,129746
1562,124126
1563,117374
1564,159875
1565,161922
1566,234531
1567,70914
1568,221768
1569,144359
1570,127743
1571,127301
1572,145103
1573,265508
1574,114800
1575,215858
1576,220703
1577,201123
1578,144817
1579,146772
1580,190233
1581,151467
1582,131536
1583,322940
1584,237872
1585,137741
1586,66400
1587,100378
1588,152819
1589,105397
1590,132042
1591,96170
1592,102440
1593,128396
1594,116856
1595,117975
1596,244710
1597,187786
1598,189173
1599,178814
1600,173687
1601,67676
1602,103984
1603,96175
1604,250236
1605,233059
1606,162902
1607,147078
1608,208422
1609,200965
1610,154372
1611,141304
1612,167388
1613,155858
1614,122618
1615,79671
1616,71635
1617,84605
1618,117697
1619,138526
1620,142586
1621,138206
1622,141892
1623,282558
1624,213646
1625,121265
1626,170352
1627,189825
1628,285208
1629,180378
1630,355351
1631,218872
1632,243344
1633,170739
1634,186349
1635,185905
1636,154083
1637,176974
1638,205742
1639,189662
1640,262095
1641,185638
1642,218748
1643,221716
1644,227671
1645,189468
1646,159727
1647,157775
1648,134300
1649,133020
1650,117228
1651,117128
1652,89321
1653,93195
1654,159430
1655,154841
1656,152592
1657,153831
1658,156876
1659,136531
1660,150205
1661,427006
1662,408637
1663,382966
1664,331946
1665,318675
1666,313934
1667,357276
1668,331204
1669,291517
1670,351665
1671,245862
1672,426391
1673,288654
1674,244559
1675,181072
1676,177707
1677,219076
1678,396121
1679,380725
1680,334427
1681,259252
1682,300476
1683,173920
1684,172193
1685,171351
1686,170828
1687,168154
1688,184607
1689,188988
1690,191104
1691,172284
1692,276968
1693,170486
1694,186142
1695,172277
1696,286642
1697,175052
1698,372030
1699,325446
1700,246690
1701,270100
1702,281287
1703,268411
1704,293879
1705,229417
1706,379672
1707,236510
1708,215675
1709,319091
1710,222651
1711,251639
1712,292621
1713,261571
1714,220684
1715,205015
1716,190084
1717,181361
1718,134407
1719,198918
1720,250174
1721,174085
1722,133294
1723,156902
1724,226616
1725,248633
1726,188844
1727,159515
1728,173164
1729,162222
1730,157443
1731,123555
1732,131089
1733,112569
1734,109703
1735,134229
1736,120271
1737,318395
1738,194407
1739,289002
1740,217176
1741,192751
1742,167851
1743,170887
1744,315296
1745,220328
1746,177386
1747,219471
1748,226141
1749,153838
1750,122479
1751,259673
1752,116659
1753,124533
1754,194758
1755,168100
1756,134395
1757,118376
1758,146127
1759,153300
1760,161872
1761,140060
1762,171446
1763,183497
1764,117199
1765,137381
1766,178980
1767,200578
1768,145022
1769,173123
1770,141109
1771,135023
1772,126718
1773,122792
1774,120231
1775,139033
1776,124500
1777,116319
1778,141172
1779,117581
1780,162940
1781,135305
1782,82169
1783,137767
1784,99440
1785,120770
1786,139267
1787,165716
1788,51124
1789,102132
1790,73439
1791,161842
1792,146180
1793,129866
1794,150228
1795,133473
1796,122955
1797,110814
1798,129820
1799,115014
1800,133875
1801,124177
1802,143459
1803,141193
1804,141012
1805,133945
1806,115309
1807,123763
1808,117159
1809,122775
1810,148669
1811,97318
1812,98652
1813,120086
1814,106503
1815,55410
1816,100333
1817,109990
1818,120601
1819,120032
1820,61970
1821,114501
1822,143695
1823,52126
1824,131183
1825,130144
1826,106260
1827,111867
1828,134909
1829,122944
1830,145827
1831,152203
1832,85879
1833,127991
1834,121122
1835,115943
1836,122581
1837,84108
1838,126627
1839,87442
1840,173684
1841,158596
1842,87820
1843,135326
1844,125306
1845,137222
1846,156219
1847,157171
1848,50448
1849,110138
1850,118073
1851,157785
1852,130788
1853,126867
1854,174753
1855,131748
1856,206192
1857,134751
1858,131020
1859,123051
1860,167889
1861,124117
1862,325519
1863,309515
1864,309515
1865,362086
1866,347954
1867,258329
1868,315017
1869,200061
1870,243776
1871,258857
1872,169440
1873,227935
1874,144779
1875,204362
1876,193790
1877,217456
1878,210836
1879,134727
1880,135374
1881,232705
1882,251080
1883,190640
1884,200185
1885,255974
1886,307412
1887,202544
1888,273804
1889,159727
1890,121625
1891,139608
1892,102499
1893,133447
1894,124152
1895,131638
1896,126041
1897,107403
1898,110963
1899,150112
1900,151000
1901,159576
1902,133936
1903,207479
1904,145326
1905,195044
1906,156817
1907,179751
1908,102970
1909,140028
1910,119715
1911,217717
1912,244829
1913,138689
1914,67478
1915,301629
1916,64660
1917,264987
1918,134538
1919,165377
1920,128425
1921,429998
1922,342262
1923,213676
1924,222101
1925,211617
1926,382455
1927,135937
1928,153677
1929,116858
1930,133935
1931,142271
1932,139851
1933,174513
1934,183839
1935,181163
1936,196456
1937,180013
1938,163136
1939,243614
1940,188022
1941,171138
1942,184756
1943,206601
1944,338619
1945,380160
1946,131504
1947,323624
1948,178359
1949,232561
1950,175146
1951,258929
1952,198404
1953,169562
1954,188939
1955,132238
1956,293086
1957,153736
1958,303196
1959,127775
1960,117237
1961,119666
1962,91789
1963,98738
1964,109353
1965,150471
1966,151700
1967,291252
1968,432649
1969,378781
1970,436674
1971,455385
1972,385284
1973,270059
1974,323814
1975,338335
1976,267532
1977,365160
1978,344135
1979,336017
1980,191680
1981,362089
1982,216176
1983,203981
1984,163166
1985,218499
1986,202265
1987,179911
1988,172563
1989,191089
1990,221247
1991,244690
1992,207201
1993,163093
1994,239552
1995,186672
1996,251539
1997,318176
1998,334147
1999,267114
2000,319044
2001,266825
2002,225608
2003,256189
2004,260409
2005,225269
2006,243113
2007,262860
2008,228050
2009,191490
2010,190475
2011,138879
2012,182041
2013,181698
2014,191277
2015,207215
2016,191266
2017,192891
2018,129830
2019,134954
2020,109654
2021,107394
2022,186408
2023,145167
2024,244501
2025,346326
2026,176530
2027,144949
2028,154022
2029,172578
2030,273736
2031,225393
2032,258044
2033,271284
2034,165940
2035,205592
2036,201516
2037,208355
2038,292618
2039,225936
2040,257252
2041,277717
2042,210093
2043,174586
2044,170943
2045,192868
2046,130789
2047,154639
2048,138936
2049,132965
2050,183572
2051,107722
2052,130850
2053,146412
2054,94213
2055,160697
2056,136438
2057,114860
2058,214388
2059,132441
2060,167498
2061,186757
2062,132053
2063,116567
2064,136808
2065,120215
2066,174540
2067,113324
2068,114106
2069,90517
2070,121809
2071,92523
2072,127710
2073,142900
2074,186907
2075,143330
2076,125191
2077,151976
2078,125560
2079,134055
2080,120572
2081,119677
2082,114698
2083,148292
2084,111734
2085,122559
2086,108475
2087,119909
2088,89775
2089,86430
2090,126816
2091,121160
2092,121313
2093,118892
2094,120421
2095,152378
2096,83638
2097,95644
2098,145887
2099,55704
2100,94596
2101,116275
2102,126075
2103,104191
2104,119566
2105,120442
2106,74285
2107,217341
2108,123147
2109,113849
2110,127321
2111,138870
2112,135779
2113,123905
2114,102008
2115,152545
2116,127227
2117,145937
2118,116720
2119,101755
2120,113864
2121,82637
2122,103742
2123,83567
2124,163565
2125,125343
2126,152655
2127,127173
2128,124614
2129,104860
2130,145541
2131,133304
2132,120197
2133,127506
2134,116141
2135,103569
2136,70658
2137,111304
2138,139130
2139,156707
2140,143035
2141,136079
2142,127427
2143,139365
2144,115485
2145,136698
2146,166205
2147,138259
2148,126444
2149,150999
2150,224325
2151,126235
2152,172390
2153,157578
2154,100295
2155,130452
2156,273879
2157,224356
2158,249319
2159,217389
2160,173291
2161,249111
2162,419309
2163,349313
2164,248428
2165,201780
2166,151855
2167,230128
2168,194558
2169,195885
2170,209292
2171,143820
2172,142167
2173,158816
2174,238939
2175,306237
2176,324569
2177,249056
2178,204365
2179,136805
2180,206531
2181,193777
2182,216743
2183,194111
2184,121912
2185,104083
2186,142849
2187,164089
2188,163915
2189,179558
2190,83834
2191,83971
2192,80005
2193,103468
2194,104796
2195,107248
2196,106737
2197,114455
2198,166638
2199,183201
2200,144902
2201,127294
2202,214047
2203,139997
2204,175786
2205,125309
2206,135325
2207,231141
2208,253068
2209,209581
2210,118464
2211,118351
2212,118793
2213,103494
2214,122958
2215,113075
2216,146006
2217,78712
2218,83341
2219,78798
2220,81552
2221,302414
2222,247605
2223,277487
2224,202330
2225,119205
2226,173512
2227,190694
2228,270617
2229,232300
2230,155031
2231,219655
2232,170604
2233,166013
2234,246832
2235,219505
2236,267966
2237,330453
2238,222499
2239,103714
2240,164135
2241,156698
2242,128034
2243,121483
2244,97429
2245,97153
2246,144357
2247,98625
2248,120995
2249,123039
2250,135467
2251,97694
2252,168781
2253,159382
2254,181613
2255,193169
2256,179578
2257,201374
2258,175699
2259,178007
2260,164025
2261,191098
2262,214160
2263,348017
2264,484580
2265,162516
2266,305431
2267,356312
2268,387401
2269,142362
2270,183529
2271,222740
2272,191921
2273,158564
2274,175999
2275,150537
2276,193770
2277,176902
2278,151482
2279,130872
2280,117619
2281,170553
2282,182220
2283,100433
